Parking_Violations
Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Violation Location,Issuer Precinct,Violation Time,Violation County,Vehicle Color,Vehicle Year
1497711320,GKK9073,NY,PAS,11/19/2025,98,SUBN,HONDA,P,68,68,1043A,K,BLUE,2013
1498985014,KZY8365,NY,PAS,11/19/2025,14,SUBN,CHEVR,P,114,114,0725P,Q,GRAY,2015
1497647988,KNC3705,NY,PAS,11/19/2025,40,,TOYOT,P,,110,0503A,,WH,2021
1446746604,JURNEE,NY,SRF,11/19/2025,27,SDN,LEXUS,Q,114,0,1020A,Q,,0
1497946931,381BR5,NY,PAS,11/19/2025,70,BIKE,TRIUM,A,106,642,0505P,NY,BLUE,0
1494293043,LRU8718,NY,PAS,11/19/2025,40,SUBN,HONDA,P,33,33,0240A,,GR,0
1498216614,T769144C,NY,PAS,11/20/2025,98,SUBN,TOYOT,P,48,48,0225A,BX,SLV,2022
1497947789,Y208431C,NY,999,11/20/2025,14,SUBN,FORD,A,113,642,1130P,Q,YEL,2023
1499104509,HSL2942,NY,PAS,11/21/2025,19,SDN,HONDA,P,105,105,0713P,Q,SILVE,2005
1489595375,LSE2058,NY,PAS,11/21/2025,46,SDN,CHEVR,O,102,0,1130A,Q,BLK,2024
1500976805,KWX7936,NY,PAS,11/21/2025,71,,BMW,P,49,49,1204A,BX,BLK,2013
1497784827,KSH4284,NY,PAS,11/22/2025,40,SDN,LINCO,P,48,48,1147P,BX,WHITE,2006
1499467485,LDF4524,NY,PAS,11/22/2025,46,SDN,JEEP,P,28,28,0525P,,GRAY,0
1498813355,KTV7223,NY,PAS,11/22/2025,40,SUBN,TOYOT,P,88,88,0443P,K,WH,2022
1497784840,HBN4270,NY,PAS,11/23/2025,40,SUBN,HONDA,P,48,48,1237A,BX,BLK,2007
1497784852,MLV6106,PA,PAS,11/23/2025,40,SDN,HONDA,P,48,48,0100A,,WHI,2016
1499188730,PADP50000,PA,PAS,11/23/2025,19,SUBN,FORD,P,46,50,0912P,BX,G,2007
1499190311,KNW6037,NY,PAS,11/23/2025,40,SUBN,NISSA,P,50,50,0342A,BX,GRY,2019
1499486078,C59NKC,NJ,PAS,11/23/2025,40,SDN,FORD,P,34,33,0942P,,BLK,0
